"Table","IndexName","Side","SourceSignature","DestSignature"
"dbo.BackOfficePrintLocation",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BalanceCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BalanceCascade",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BalanceConversion",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BalanceConversion",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BaseCoverageRequirement",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BaseCoverageRequirement",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BaseCoverageRequirement",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BaseRateTransaction",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BaseRateTransaction",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BaseRateTransaction",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACACalendar",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACACalendar",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACACalendarCycle",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACACalendarCycle",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAEmployeeEligibility",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAEmployeeEligibility",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAEmployeeEligibility",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAYearEndDependent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAYearEndDependent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAYearEndDependent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAYearEndEmployee",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenACAYearEndEmployee",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCareProvider",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCareProvider",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCOBRAEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCOBRAEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCOBRAEventReason",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCOBRAEventReason",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCoverageEndEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCoverageEndEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCoverageEndEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCoverageEndEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenCoverageEndEvent",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenDependentOffering",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenDependentOffering",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenDependentOffering",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilityElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilityElementValue",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilityQualifier",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilityQualifier",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilityQualifierAssignment",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilityQualifierAssignment",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilitySupportToolOutput",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilitySupportToolOutput",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEligibilitySupportToolOutput",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeDependentCoverageStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
"dbo.BenEmployeeDependentCoverageStatus",,"NameMatch_ButDefinitionDiff","System.Object[]","System.Object[]"
