"Table","Location"
"dbo.AttendanceRulePolicyIncidentTypeQualifierAudit","Both"
"dbo.AttendanceRulePolicyIncidentTypeQualifierCulture","Both"
"dbo.AttendanceRulePolicyIncidentTypeRule","Both"
"dbo.AttendanceRulePolicyIncidentTypeRuleAudit","Both"
"dbo.AttendanceRulePolicyIncidentTypeRuleCulture","Both"
"dbo.AttendanceRulePolicyIncidentTypeRuleSet","Both"
"dbo.AttendanceRulePolicyIncidentTypeRuleSetAudit","Both"
"dbo.AttendanceRulePolicyIncidentTypeRuleSetCulture","Both"
"dbo.AttendanceRulePolicyViolationElementValue","Both"
"dbo.AttendanceRulePolicyViolationElementValueAudit","Both"
"dbo.AttendanceRulePolicyViolationQualifier","Both"
"dbo.AttendanceRulePolicyViolationQualifierAudit","Both"
"dbo.AttendanceRulePolicyViolationQualifierCulture","Both"
"dbo.AttendanceRulePolicyViolationRule","Both"
"dbo.AttendanceRulePolicyViolationRuleAudit","Both"
"dbo.AttendanceRulePolicyViolationRuleCulture","Both"
"dbo.AttendanceRulePolicyViolationRuleSet","Both"
"dbo.AttendanceRulePolicyViolationRuleSetAudit","Both"
"dbo.AttendanceRulePolicyViolationRuleSetCulture","Both"
"dbo.AttendanceThreshold","Both"
"dbo.AttendanceThresholdCulture","Both"
"dbo.AttendanceViolation","Both"
"dbo.AttendanceViolationCulture","Both"
"dbo.AuthorityType","Both"
"dbo.AuthorityTypeCountryContext","Both"
"dbo.AuthorityTypeCulture","Both"
"dbo.AuthorizationPolicy","Both"
"dbo.AuthorizationPolicyAssignment","Both"
"dbo.AuthorizationPolicyCulture","Both"
"dbo.AuthorizationPolicyElementValue","Both"
"dbo.AuthorizationPolicyRule","Both"
"dbo.AuthorizationPolicyRuleCulture","Both"
"dbo.AuthorizationPolicyRuleQualifier","Both"
"dbo.AuthorizationPolicyRuleQualifierCulture","Both"
"dbo.AutoCommitJobStatus","Both"
"dbo.AutofillCondition","Both"
"dbo.AutofillPriorityDef","Both"
"dbo.AutofillPriorityDefCulture","Both"
"dbo.AutofillRPConstElementValue","Both"
"dbo.AutofillRPConstQualifier","Both"
"dbo.AutofillRPConstQualifierCulture","Both"
"dbo.AutofillRPConstRule","Both"
"dbo.AutofillRPConstRuleCulture","Both"
"dbo.AutofillRPConstRuleSet","Both"
"dbo.AutofillRPConstRuleSetCulture","Both"
"dbo.AutofillRPGeneral","Both"
"dbo.AutofillRPMinimumsElementValue","Both"
"dbo.AutofillRPMinimumsQualifier","Both"
"dbo.AutofillRPMinimumsQualifierCulture","Both"
"dbo.AutofillRPMinimumsRule","Both"
"dbo.AutofillRPMinimumsRuleCulture","Both"
"dbo.AutofillRunProfile","Both"
"dbo.AutofillRunProfileAssignment","Both"
"dbo.AutofillRunProfileCulture","Both"
"dbo.AutofillRunProfileDetails","Both"
"dbo.AutoTriggerAssessmentConfig","Both"
"dbo.AutoTriggerBackgroundScreeningConfig","Both"
"dbo.AutoTriggerI9Config","Both"
"dbo.AutoTriggerRightToWorkConfig","Both"
"dbo.AutoTriggerScheduleInterviewConfig","Both"
"dbo.AutoTriggerScheduleInterviewConfig_TAL34825_Step39399_20240627","Both"
"dbo.AutoTriggerSender","Both"
"dbo.Axis","Both"
"dbo.AxisCulture","Both"
"dbo.AxisTable","Both"
"dbo.AxisTic","Both"
"dbo.AxisTicCulture","Both"
"dbo.BackgroundJob","Both"
"dbo.BackgroundJobAssignment","Both"
"dbo.BackgroundJobCulture","Both"
"dbo.BackgroundJobErrorFiles","Both"
"dbo.BackgroundJobLog","Both"
"dbo.BackgroundJobLogExtractedParameters","Both"
"dbo.BackgroundJobNature","Both"
"dbo.BackgroundJobQueueItem","Both"
"dbo.BackgroundJobReview","Both"
"dbo.BackgroundJobSchedule","Both"
"dbo.BackgroundJobSequence","Both"
"dbo.BackgroundJobSequenceDetail","Both"
"dbo.BackgroundJobSequenceRunTracker","Both"
"dbo.BackgroundJobStatus","Both"
"dbo.BackgroundJobStatusCulture","Both"
"dbo.BackgroundJobTransform","Both"
"dbo.BackgroundSchedule","Both"
"dbo.BackgroundScheduleCulture","Both"
"dbo.BackgroundScheduleRole","Both"
"dbo.BackgroundScheduleUser","Both"
"dbo.BackgroundScreeningJobLevelMapping","Both"
"dbo.BackgroundScreeningPositionLevelMapping","Both"
"dbo.BackgroundScreeningProviderAuthentication","Both"
"dbo.BackgroundScreeningProviderStatusMapping","Both"
"dbo.BackgroundScreeningProviderType","Both"
"dbo.BackgroundTaskDefinition","Both"
"dbo.BackgroundTaskDefinitionCulture","Both"
"dbo.BackgroundTaskParamDefinition","Both"
"dbo.BackgroundTaskParamDefinitionCulture","Both"
"dbo.BackOfficePrintLocation","Both"
"dbo.BackOfficePrintLocationCulture","Both"
"dbo.BackupEmployeeEmploymentStatus_MostRecentTerminated","Both"
"dbo.Balance","Both"
"dbo.BalanceAccessReason","Both"
"dbo.BalanceAccessReasonCulture","Both"
"dbo.BalanceAccessReasonList","Both"
"dbo.BalanceArchive","Both"
"dbo.BalanceCascade","Both"
"dbo.BalanceConversion","Both"
"dbo.BalanceCulture","Both"
"dbo.BalanceCultureArchive","Both"
"dbo.BalanceCulturePermanent","Both"
"dbo.BalanceDefinablePayRate","Both"
"dbo.BalancePermanent","Both"
"dbo.BalanceRoleRestrictionList","Both"
"dbo.BalanceTransactionType","Both"
"dbo.BalanceTransactionTypeCulture","Both"
"dbo.BalanceUnit","Both"
"dbo.BalanceUnitArchive","Both"
"dbo.BalanceUnitCulture","Both"
"dbo.BalanceUnitCultureArchive","Both"
"dbo.BalanceUnitCulturePermanent","Both"
"dbo.BalanceUnitPermanent","Both"
"dbo.BaseCoverage","Both"
