"SqlInstance","JobName","LastRunStatus","LastRunDate","LastRunDuration","Enabled","Notes"
"azh5bcpsql01c,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azh5bcpsql01c,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azh5bcpsql02c,31433","DatabaseFULLBackup_PreProd_Azure","Succeeded","10/8/2024 8:25:00 PM",,"False",
"azh5dagsql01a,31433",,,,,,"No matching jobs found"
"azh5dagsql01b,31433",,,,,,"No matching jobs found"
"azh5dflsql11c,31433",,,,,,"No matching jobs found"
"azh5dflsql13c,31433",,,,,,"No matching jobs found"
"azm5lkssql002",,,,,,"No matching jobs found"
"azm5monsql001",,,,,,"No matching jobs found"
"azm5pscsql004","DatabaseFULLBackup_NonProd_Azure","Failed","5/11/2026 8:25:01 PM",,"True",
"azm5pscsql005","DatabaseFULLBackup_NonProd_Azure","Failed","5/11/2026 8:25:01 PM",,"True",
"azm5pscsql006","DatabaseFULLBackup_NonProd_Azure","Failed","5/11/2026 8:25:01 PM",,"True",
"azm5stgsql001",,,,,,"No matching jobs found"
"azm5supscb001","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/12/2026 4:41:09 PM",,"True",
"azm5supscb002","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:01 PM",,"True",
"azm5supscb003",,,,,,"No matching jobs found"
"azm5supsql007",,,,,,"No matching jobs found"
"azm5supsql008","Update Statistics – Full Scan-SOHODBPERF","Succeeded","11/14/2025 3:43:03 AM",,"True",
"azm5supsql008","Update Statistics – Full Scan-SOHODBPERF-OLA","Succeeded","11/14/2025 4:25:38 AM",,"True",
"azm5supsql009",,,,,,"No matching jobs found"
"azm5supsql010",,,,,,"No matching jobs found"
"azm5supsql011",,,,,,"No matching jobs found"
"azm5supsql012",,,,,,"No matching jobs found"
"azm5supsql013",,,,,,"No matching jobs found"
"azm5supsql014",,,,,,"No matching jobs found"
"azm5supsql015",,,,,,"No matching jobs found"
"azm5supsql016",,,,,,"No matching jobs found"
"azm5vansql001",,,,,,"No matching jobs found"
